average_slowdown,mean_completion_time,p95_completion_time,utilization,task_failure_rate,tasks_arrived,tasks_failed,scenario,severity,severity_rank,method,seed,degradation_pct
9.223611111111111,28.09375,63.25,0.2565104166666667,0.6666666666666666,96.0,64.0,co_tenant_matched_load_control,low,1,deeprm_inspired_pg,1,10.542851792513694
9.223611111111111,28.09375,63.25,0.2565104166666667,0.6666666666666666,96.0,64.0,co_tenant_matched_load_control,medium,2,deeprm_inspired_pg,1,10.542851792513694
9.855902777777779,30.0625,68.25,0.224609375,0.6979166666666666,96.0,67.0,co_tenant_matched_load_control,high,3,deeprm_inspired_pg,1,18.120721582988306
3.1684678819444443,12.06640625,67.8125,0.5758463541666667,0.18880208333333331,96.0,18.125,clean,clean,0,plain_dqn,1,0.0
4.319552951388888,16.62109375,80.0,0.4501953125,0.27734375,96.0,26.625,observation_noise,low,1,plain_dqn,1,36.329390491976184
4.588368055555556,17.236979166666668,80.875,0.443603515625,0.28776041666666663,96.0,27.625,observation_noise,medium,2,plain_dqn,1,44.813462737067056
5.200889756944444,19.272135416666664,82.4375,0.40437825520833337,0.3385416666666667,96.0,32.5,observation_noise,high,3,plain_dqn,1,64.14525728923378
3.9900824652777778,13.696614583333334,77.5,0.5791015625,0.23958333333333334,96.0,23.0,reward_corruption,low,1,plain_dqn,1,25.930974021081763
12.303472222222222,36.22526041666667,88.8125,0.22493489583333334,0.7265625,96.0,69.75,reward_corruption,medium,2,plain_dqn,1,288.3098292500839
8.757682291666667,25.169270833333336,67.8125,0.49934895833333337,0.40625,96.0,39.0,reward_corruption,high,3,plain_dqn,1,176.40116983897593
3.977590731185736,10.439630286246235,43.043749999999996,0.3634440104166667,0.15237429243720152,86.625,13.75,distribution_shift,low,1,plain_dqn,1,25.536722459838995
5.803977272600903,16.6184332912962,58.49374999999999,0.42838541666666663,0.32052704646268826,107.0,36.0,distribution_shift,medium,2,plain_dqn,1,83.1792995496323
9.903033456702083,28.898790997254707,80.51249999999999,0.4964192708333333,0.5001011105011157,147.125,74.5,distribution_shift,high,3,plain_dqn,1,212.54959260072192
4.627625868055556,18.9375,84.1875,0.364990234375,0.3216145833333333,96.0,30.875,co_tenant_interference,low,1,plain_dqn,1,46.05247837373208
4.737738715277778,19.485677083333332,84.40625,0.34716796875,0.33984375,96.0,32.625,co_tenant_interference,medium,2,plain_dqn,1,49.52774942980624
5.184852430555555,20.622395833333336,85.15625,0.33748372395833337,0.37109375,96.0,35.625,co_tenant_interference,high,3,plain_dqn,1,63.639103306096445
4.8333116319444445,19.348958333333336,84.34375,0.36385091145833337,0.33203125,96.0,31.875,co_tenant_matched_load_control,low,1,plain_dqn,1,52.544125805634145
4.682747395833333,19.4375,84.75,0.3451334635416667,0.33333333333333337,96.0,32.0,co_tenant_matched_load_control,medium,2,plain_dqn,1,47.79216865406875
4.705555555555556,19.412760416666664,84.75,0.34049479166666663,0.328125,96.0,31.5,co_tenant_matched_load_control,high,3,plain_dqn,1,48.512016876365564
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,clean,clean,0,heuristic_sjf_bestfit,2,0.0
5.6888671875,17.869791666666668,48.8125,0.5223795572916666,0.3359375,96.0,32.25,observation_noise,low,1,heuristic_sjf_bestfit,2,34.85277171900078
6.070030381944444,18.81640625,45.90625,0.521484375,0.36848958333333337,96.0,35.375,observation_noise,medium,2,heuristic_sjf_bestfit,2,43.888122968023374
7.105881076388888,21.450520833333336,53.3125,0.5088704427083334,0.4010416666666667,96.0,38.5,observation_noise,high,3,heuristic_sjf_bestfit,2,68.44263138400756
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption,low,1,heuristic_sjf_bestfit,2,0.0
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption,medium,2,heuristic_sjf_bestfit,2,0.0
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption,high,3,heuristic_sjf_bestfit,2,0.0
2.0158580264661623,6.239080352560708,17.068749999999998,0.3627115885416667,0.06988688572361663,77.0,5.75,distribution_shift,low,1,heuristic_sjf_bestfit,2,-52.214732159985616
6.2488258834325725,18.05935031803766,60.36874999999999,0.45743815104166663,0.3426426935076598,122.5,42.5,distribution_shift,medium,2,heuristic_sjf_bestfit,2,48.12641297407967
8.635976513572462,25.712858851601446,74.58749999999999,0.49625651041666663,0.48258289648013264,152.5,74.0,distribution_shift,high,3,heuristic_sjf_bestfit,2,104.7130528753339
7.138953993055555,22.10546875,57.03125,0.46272786458333337,0.4322916666666667,96.0,41.5,co_tenant_interference,low,1,heuristic_sjf_bestfit,2,69.22661426396148
